date,price,bedrooms,grade,living_in_m2,real_bathrooms,quartile_zone
6/13/2014,822500,5,7,215.53496,3,3
6/13/2014,324900,4,7,174.65764,2,2
9/2/2014,269000,2,6,71.53531,1,2
9/29/2014,360000,4,7,229.47041,2,1
4/29/2015,450000,2,6,163.50928,1,3
8/25/2014,252500,4,7,241.5478,2,1
8/25/2014,850000,5,8,292.64445,3,3
7/30/2014,625000,3,7,148.6448,1,4
3/2/2015,515000,3,7,154.21898,1,3
10/21/2014,767250,4,8,201.59951,3,3
6/26/2014,475580,3,8,141.21256,1,4
7/22/2014,590000,3,8,213.6769,2,2
2/23/2015,300000,3,8,264.77355,3,1
7/31/2014,450000,4,7,183.94794,1,2
4/23/2015,600000,3,7,96.61912,1,3
4/16/2015,245000,4,6,118.91584,1,1
7/1/2014,260000,2,6,71.53531,1,2
4/9/2015,624950,3,8,191.38018,2,4
5/13/2014,525000,5,7,227.61235,3,3
5/30/2014,642000,3,10,248.05101,2,4
1/23/2015,952990,4,9,329.80565,2,4
6/11/2014,148000,1,5,57.59986,1,1
3/16/2015,550000,3,7,133.78032,1,3
9/19/2014,241500,4,8,232.2575,2,1
6/5/2014,465000,3,9,142.14159,2,3
7/28/2014,630000,4,7,208.10272,2,3
6/20/2014,330000,3,7,172.79958,2,2
4/9/2015,220000,4,7,109.62554,1,1
5/9/2014,536000,3,7,120.7739,1,3
8/21/2014,369160,4,8,196.95436,2,1
10/17/2014,423500,3,8,185.806,2,4
12/9/2014,450000,4,8,196.95436,2,2
12/18/2014,275000,5,7,181.16085,1,2
7/21/2014,360000,3,7,123.56099,1,2
6/11/2014,588000,4,7,156.07704,2,3
4/8/2015,620000,3,7,184.87697,2,4
5/27/2014,468000,2,7,107.76748,1,3
8/21/2014,352500,3,8,178.37376,2,2
8/28/2014,390000,2,6,117.98681,1,2
7/8/2014,460000,4,9,243.40586,2,1
8/26/2014,1060000,4,10,360.46364,3,3
9/22/2014,715000,4,8,184.505358,3,3
7/3/2014,267000,3,7,161.65122,1,1
7/30/2014,360000,4,9,297.2896,2,1
3/6/2015,286950,4,7,193.23824,2,1
5/30/2014,950000,4,8,232.2575,1,4
6/5/2014,799000,4,9,325.1605,3,4
9/15/2014,440000,4,8,295.43154,3,1
5/21/2014,332500,3,7,167.2254,2,2
7/2/2014,265050,2,7,74.3224,1,1
3/11/2015,110000,2,6,76.923684,1,1
12/1/2014,467000,3,8,247.12198,1,2
6/6/2014,279000,5,7,249.90907,2,1
12/9/2014,859950,6,9,295.43154,4,4
4/14/2015,310000,5,7,210.88981,3,2
5/30/2014,315000,3,7,98.47718,2,2
7/30/2014,375950,3,6,137.49644,1,3
9/22/2014,545000,3,7,130.0642,1,3
12/9/2014,363000,2,7,104.05136,1,2
10/29/2014,297000,2,7,132.85129,1,2
7/21/2014,334950,4,8,223.89623,2,1
7/1/2014,485000,3,8,226.68332,2,4
12/14/2014,339888,3,7,96.61912,1,2
5/5/2014,890000,4,10,410.63126,4,3
5/15/2014,197500,3,6,91.04494,1,2
10/6/2014,429000,3,8,172.79958,2,3
4/29/2015,320900,5,7,204.3866,2,2
5/4/2015,158000,3,6,105.90942,1,1
6/19/2014,437000,2,8,133.78032,1,4
3/25/2015,221000,3,6,115.19972,1,1
2/24/2015,191950,2,7,129.13517,2,1
7/1/2014,392000,5,8,347.45722,2,1
2/6/2015,750000,4,8,235.97362,2,3
5/6/2015,423000,4,7,160.72219,1,4
4/15/2015,345000,2,8,77.10949,1,3
1/5/2015,485000,3,8,156.07704,2,4
4/27/2015,454450,4,9,261.05743,3,2
4/10/2015,986000,3,9,221.10914,2,3
9/3/2014,345000,3,7,150.50286,2,2
7/24/2014,725000,4,9,306.5799,2,3
10/15/2014,349900,4,8,235.04459,2,1
8/11/2014,585000,3,8,206.24466,1,2
11/24/2014,520000,3,7,155.14801,2,3
5/8/2014,245000,3,7,117.05778,1,1
7/17/2014,891000,4,7,216.46399,2,3
5/13/2014,660000,4,9,315.8702,3,3
10/7/2014,571500,4,8,202.52854,2,3
6/12/2014,1240000,5,11,409.70223,4,4
8/22/2014,165000,3,7,154.21898,2,1
6/4/2014,583000,6,8,244.33489,2,4
3/20/2015,372500,3,7,156.07704,1,2
5/8/2015,370000,4,6,181.16085,2,2
7/29/2014,512000,4,9,241.5478,2,2
7/18/2014,710000,3,8,290.78639,2,3
10/10/2014,536000,3,7,146.78674,1,3
9/25/2014,399000,2,7,104.05136,1,2
1/15/2015,390000,2,7,167.2254,1,3
9/4/2014,616950,5,8,330.73468,3,1
6/29/2014,530000,2,7,78.03852,1,4
5/22/2014,320000,3,7,103.12233,2,2
6/16/2014,455000,2,6,121.70293,1,4
6/16/2014,685000,4,8,263.84452,3,2
11/4/2014,445000,4,7,195.0963,1,2
5/28/2014,600000,4,9,233.18653,2,2
12/5/2014,239999,3,7,161.65122,2,1
10/2/2014,275000,4,5,132.85129,1,3
12/5/2014,357000,4,9,250.8381,2,1
10/9/2014,449500,4,8,225.75429,2,2
4/2/2015,714000,3,8,209.96078,1,3
10/9/2014,240000,3,7,134.70935,1,1
8/4/2014,680000,3,8,271.27676,2,3
6/16/2014,470000,3,7,140.28353,1,4
4/24/2015,745000,4,9,294.50251,2,2
5/9/2014,336900,3,6,165.36734,1,2
2/3/2015,415000,3,8,202.52854,2,2
12/10/2014,300000,3,7,94.76106,2,3
9/3/2014,477000,4,7,128.20614,1,2
11/19/2014,528000,2,7,117.05778,1,3
9/16/2014,350000,3,7,285.21221,2,2
11/11/2014,362000,3,8,214.60593,2,1
7/11/2014,350000,4,8,246.19295,2,1
3/30/2015,539950,3,8,169.08346,1,3
9/23/2014,1230000,5,9,407.84417,4,4
4/28/2015,440000,4,7,253.62519,2,3
8/12/2014,540000,5,10,293.57348,2,3
1/2/2015,430000,3,7,181.16085,2,3
2/19/2015,710000,6,9,355.81849,3,3
1/27/2015,365000,3,7,95.69009,1,2
4/28/2015,420000,4,7,122.63196,1,2
12/23/2014,435000,4,9,273.13482,2,1
8/28/2014,1275000,6,11,572.28248,5,4
7/11/2014,578000,3,8,166.29637,2,4
5/20/2014,259900,3,7,138.42547,2,1
2/10/2015,602000,4,7,225.75429,1,4
12/5/2014,500000,2,6,63.17404,1,3
11/7/2014,660000,4,8,212.74787,2,4
5/8/2014,569000,4,8,209.03175,2,4
10/31/2014,285000,3,7,144.92868,1,1
5/13/2014,273000,4,6,202.52854,1,1
3/20/2015,750000,4,8,200.67048,2,4
6/10/2014,285000,2,6,153.382853,2,2
11/5/2014,82000,3,6,79.89658,1,2
5/22/2014,430000,2,8,141.21256,2,3
12/1/2014,465000,3,7,137.49644,1,2
5/29/2014,350000,4,7,189.52212,2,1
12/10/2014,381000,3,8,164.43831,2,2
10/20/2014,700000,2,8,120.7739,1,4
8/21/2014,505657,4,8,259.19937,2,2
1/27/2015,215000,4,7,197.88339,2,1
7/1/2014,540000,3,8,190.45115,1,4
6/4/2014,364950,4,7,214.60593,2,2
2/12/2015,185000,2,6,104.237166,1,1
3/5/2015,255000,3,7,171.87055,2,1
10/4/2014,750000,4,8,195.0963,1,3
11/19/2014,1050000,3,9,324.23147,3,4
8/26/2014,420000,2,6,76.18046,1,2
3/12/2015,920000,4,9,328.87662,2,4
6/16/2014,277000,3,7,102.1933,1,2
7/10/2014,670000,3,9,131.92226,2,4
7/18/2014,567035,3,7,191.751792,2,2
2/24/2015,470000,6,8,231.32847,1,2
4/21/2015,799000,4,7,168.15443,1,2
3/13/2015,475000,5,6,190.45115,2,1
8/7/2014,650000,4,8,195.0963,2,3
6/5/2014,445000,4,8,217.39302,2,1
2/11/2015,380000,3,7,130.0642,1,2
9/16/2014,400000,4,8,199.74145,2,1
11/3/2014,480000,5,7,193.23824,1,2
5/14/2014,802000,3,9,239.68974,2,4
5/27/2014,477000,4,8,159.79316,2,2
7/24/2014,312000,2,6,107.76748,1,1
4/24/2015,425000,4,8,115.19972,2,2
1/7/2015,551100,3,7,132.85129,1,4
10/21/2014,1205000,4,9,229.47041,2,3
3/27/2015,484000,3,8,150.50286,2,3
2/18/2015,280500,3,7,150.50286,2,2
5/14/2014,582500,2,7,107.674577,1,4
11/6/2014,195700,3,7,104.05136,1,1
7/15/2014,425500,3,8,183.01891,2,4
5/5/2014,220000,4,7,115.19972,1,1
10/7/2014,555000,4,8,283.35415,1,2
9/12/2014,535000,3,9,245.26392,3,2
3/2/2015,650000,3,8,247.12198,2,3
4/1/2015,300000,6,8,240.61877,2,1
12/9/2014,398500,4,9,261.98646,2,2
2/3/2015,535000,4,10,261.05743,2,1
7/8/2014,580000,4,8,197.88339,2,4
3/30/2015,457000,2,8,133.78032,2,4
8/28/2014,295000,4,8,196.95436,3,4
6/23/2014,899000,3,8,137.49644,1,4
12/19/2014,280000,3,6,91.04494,1,1
5/7/2015,585000,3,8,168.15443,1,3
3/27/2015,450000,3,7,107.76748,1,2
11/17/2014,395000,4,7,208.10272,2,2
6/25/2014,280000,3,7,114.27069,1,1
3/31/2015,625000,5,8,270.34773,2,3
8/12/2014,261000,3,7,154.21898,1,2
11/12/2014,402300,3,7,137.49644,1,3
7/24/2014,499900,4,7,202.52854,3,3
2/2/2015,856600,4,9,222.9672,2,4
6/11/2014,220000,3,6,97.54815,1,2
11/22/2014,385000,4,8,183.01891,1,2
6/19/2014,600000,4,8,285.21221,2,2
10/27/2014,369900,1,5,70.60628,0,2
5/29/2014,264950,4,7,159.79316,2,1
2/12/2015,290000,3,8,219.25108,2,1
7/14/2014,675000,4,8,269.4187,2,4
2/6/2015,225000,3,5,61.31598,1,1
2/12/2015,339000,4,7,222.03817,1,1
5/6/2014,250000,3,6,97.54815,1,2
10/6/2014,295000,4,7,158.86413,2,1
8/22/2014,600000,2,8,143.99965,1,2
11/7/2014,255000,2,7,105.90942,2,1
5/25/2014,355300,3,7,150.50286,2,2
8/8/2014,512000,4,9,236.90265,2,3
5/1/2015,452000,4,7,145.85771,1,3
7/9/2014,495000,3,9,247.12198,2,1
4/17/2015,884250,4,10,356.74752,2,4
5/6/2014,136500,3,6,131.92226,1,1
7/30/2014,152275,1,6,94.76106,1,2
12/29/2014,555000,5,8,261.05743,2,4
7/1/2014,600000,2,6,84.54173,1,4
1/30/2015,1285000,3,8,226.68332,2,4
2/18/2015,945000,4,9,270.34773,2,3
7/28/2014,524000,2,6,134.70935,2,4
9/3/2014,467000,3,8,131.92226,2,3
1/16/2015,450000,5,7,176.5157,2,2
4/6/2015,304000,3,8,155.14801,2,1
11/25/2014,790000,3,8,190.45115,1,4
2/23/2015,322500,3,7,110.55457,2,2
8/22/2014,599000,4,8,245.26392,2,3
4/16/2015,375000,3,8,120.7739,2,3
5/7/2014,310000,3,7,170.94152,1,1
4/1/2015,455950,4,8,252.69616,2,2
5/12/2014,341000,3,7,159.79316,1,2
12/1/2014,180000,3,5,182.08988,1,2
12/4/2014,527500,4,8,210.88981,2,4
5/15/2014,240000,3,6,130.0642,2,2
9/10/2014,745000,4,11,246.19295,2,4
2/19/2015,340000,3,7,170.94152,1,2
5/27/2014,495000,4,7,180.23182,2,4
8/28/2014,1442500,2,10,252.69616,2,2
11/11/2014,1125000,5,9,177.44473,1,4
9/24/2014,425000,2,8,124.49002,2,3
7/8/2014,249000,2,7,101.26427,1,2
4/6/2015,250000,2,6,65.0321,0,1
6/20/2014,337000,4,7,208.10272,3,2
3/30/2015,230000,3,7,138.42547,2,1
7/28/2014,565000,2,7,89.18688,1,3
5/9/2014,415000,4,8,284.28318,2,2
8/11/2014,355000,3,7,147.71577,2,3
10/21/2014,225000,3,7,135.63838,2,1
5/5/2015,500000,4,6,164.43831,2,2
8/27/2014,699000,3,9,248.98004,2,4
12/1/2014,615000,3,8,206.24466,1,3
5/6/2015,335000,3,7,94.76106,1,2
9/5/2014,485000,3,9,288.92833,2,1
4/13/2015,340000,4,7,227.61235,2,1
1/30/2015,245000,2,6,65.96113,1,2
2/5/2015,442500,3,7,104.05136,1,2
1/15/2015,729000,3,9,306.5799,4,2
8/21/2014,178500,2,8,86.39979,1,1
8/13/2014,880000,4,8,285.21221,2,4
11/20/2014,300000,3,7,163.50928,2,2
5/29/2014,565000,4,8,226.68332,2,4
8/15/2014,275000,4,8,202.52854,2,1
12/23/2014,1042000,4,10,457.08276,4,2
8/4/2014,775000,3,10,279.63803,2,4
3/10/2015,335000,3,7,105.90942,1,2
3/25/2015,210000,3,6,81.75464,1,2
7/18/2014,410000,4,8,233.18653,2,2
1/28/2015,466000,3,7,174.65764,2,2
6/17/2014,375000,3,7,107.76748,1,2
6/19/2014,925000,4,10,304.72184,2,4
2/17/2015,515000,2,7,90.11591,1,3
12/24/2014,363000,3,8,162.58025,2,2
2/18/2015,510000,3,8,156.07704,2,4
5/7/2014,313000,3,8,203.45757,1,1
8/12/2014,639000,4,7,170.01249,1,4
7/12/2014,235000,3,7,131.92226,1,1
8/25/2014,465000,4,8,203.45757,2,3
11/19/2014,170000,2,6,75.25143,1,1
5/4/2015,880000,4,9,218.32205,2,4
4/20/2015,541900,3,8,174.65764,2,4
4/17/2015,355000,3,7,127.27711,1,2
5/6/2015,389950,2,6,76.18046,1,3
6/15/2014,520500,3,7,176.5157,2,3
5/4/2015,369950,3,6,141.21256,2,1
3/4/2015,1015000,4,8,274.99288,2,4
5/29/2014,230000,2,6,88.25785,1,1
6/26/2014,550000,4,8,199.74145,2,4
3/26/2015,280000,4,8,228.54138,3,1
4/29/2015,441000,3,7,143.07062,1,3
3/30/2015,427500,3,7,115.19972,1,3
12/24/2014,265000,3,7,140.28353,2,1
10/29/2014,387000,3,8,168.15443,1,2
3/9/2015,307000,3,6,71.53531,1,2
6/25/2014,395000,2,8,125.41905,2,3
10/13/2014,491000,3,8,154.21898,2,2
6/25/2014,233000,3,7,116.12875,1,2
10/31/2014,359950,4,8,236.159426,2,1
12/4/2014,340000,4,9,249.90907,2,1
8/21/2014,184900,2,6,114.27069,1,1
3/4/2015,224975,3,6,89.18688,1,2
12/23/2014,395000,4,8,211.81884,2,2
8/13/2014,207000,3,6,79.89658,1,1
6/25/2014,310000,2,6,80.82561,1,2
11/12/2014,620000,4,8,218.32205,1,4
8/19/2014,205000,3,7,87.32882,1,1
7/2/2014,600000,5,7,203.45757,2,4
12/4/2014,450000,4,7,171.87055,1,2
6/5/2014,1075000,5,11,481.23754,4,3
9/8/2014,685650,3,8,138.42547,1,4
5/13/2014,370000,3,7,153.28995,1,2
12/3/2014,209000,3,6,122.63196,1,1
11/13/2014,455000,3,8,194.16727,2,3
9/22/2014,227000,3,7,140.28353,1,1
10/23/2014,410500,3,7,106.83845,1,2
12/9/2014,275000,4,7,157.00607,1,1
8/25/2014,290000,2,8,94.76106,1,3
5/19/2014,602000,5,8,305.65087,1,4
8/14/2014,671500,5,7,200.67048,2,4
7/31/2014,290000,3,7,185.806,2,2
7/3/2014,405500,2,8,125.41905,2,3
7/23/2014,562000,3,8,305.65087,3,2
8/6/2014,670000,4,8,280.56706,2,4
5/7/2014,420000,2,6,96.61912,1,3
9/9/2014,1350000,4,9,281.49609,3,4
11/4/2014,457500,2,7,78.03852,1,3
10/1/2014,440000,3,8,114.27069,2,3
1/9/2015,610000,4,8,194.16727,2,4
9/16/2014,330000,3,7,145.85771,1,2
7/2/2014,475000,4,7,195.0963,2,2
11/5/2014,308500,2,6,78.03852,2,1
9/10/2014,235000,5,6,139.3545,1,1
7/16/2014,700000,4,9,240.61877,2,4
5/5/2015,265000,3,8,131.92226,1,1
4/9/2015,1400000,5,11,436.6441,4,4
2/23/2015,357500,3,7,143.07062,1,3
10/6/2014,571500,4,8,261.05743,2,1
9/17/2014,990000,3,9,232.2575,2,3
3/24/2015,540000,3,8,206.24466,2,2
2/19/2015,841000,4,9,286.14124,2,4
4/16/2015,498000,3,8,159.79316,1,2
10/8/2014,482500,2,9,108.69651,2,3
5/28/2014,550000,4,5,154.21898,1,4
2/11/2015,480000,4,8,276.85094,2,2
6/9/2014,440000,3,7,208.10272,1,2
6/25/2014,245700,3,8,152.36092,2,1
9/17/2014,959000,3,10,262.91549,2,3
5/11/2015,334000,2,6,82.68367,1,2
7/14/2014,726000,5,9,275.92191,3,4
9/24/2014,721000,2,7,166.29637,1,4
2/3/2015,408000,3,7,131.92226,1,2
5/5/2014,309950,3,7,174.65764,2,1
5/14/2015,360000,4,7,187.66406,2,1
10/3/2014,230000,3,7,151.43189,1,1
11/21/2014,298000,4,8,224.82526,2,1
8/5/2014,540000,3,8,128.20614,2,3
4/16/2015,532000,3,9,209.96078,3,2
4/6/2015,299000,3,8,177.44473,1,1
8/11/2014,870000,5,9,270.34773,2,4
9/3/2014,321000,4,8,167.2254,2,1
6/18/2014,455000,3,7,109.62554,1,2
10/1/2014,627500,4,7,144.92868,1,3
5/8/2014,489990,5,8,226.68332,2,1
10/24/2014,405000,3,7,132.85129,2,4
12/4/2014,350000,2,7,122.63196,1,1
6/2/2014,327000,3,7,122.63196,1,3
4/7/2015,206000,3,5,90.11591,1,1
4/23/2015,545000,3,7,143.99965,2,4
5/2/2014,650000,4,7,169.08346,2,3
4/23/2015,400000,3,9,193.23824,2,1
9/15/2014,392000,4,6,206.24466,3,2
3/4/2015,532500,3,9,291.71542,3,3
12/12/2014,278000,4,7,137.49644,2,3
1/5/2015,490000,4,8,196.02533,2,3
7/7/2014,747500,4,9,218.32205,2,2
9/15/2014,560000,4,7,166.29637,1,3
7/18/2014,208000,3,7,116.12875,2,1
11/5/2014,650000,3,7,218.32205,2,3
2/5/2015,329800,4,8,193.23824,2,1
2/23/2015,390000,3,7,153.28995,2,3
10/15/2014,216650,3,7,143.07062,3,4
4/2/2015,450600,2,7,78.03852,1,3
4/7/2015,685000,3,7,252.69616,1,4
6/17/2014,1170000,4,9,238.76071,2,4
3/18/2015,247500,3,6,120.7739,0,4
2/9/2015,835000,3,9,252.69616,2,4
1/19/2015,250000,5,7,203.45757,1,1
8/26/2014,430000,4,8,158.86413,1,2
11/26/2014,215000,3,7,118.91584,1,1
7/16/2014,215000,3,7,139.3545,1,1
5/12/2015,276500,4,7,221.10914,2,2
8/11/2014,495000,2,7,90.11591,1,3
5/22/2014,254500,4,8,238.76071,2,1
4/22/2015,278000,3,7,176.5157,1,1
3/11/2015,1010000,4,9,325.1605,3,3
9/16/2014,800000,5,9,308.43796,2,4
5/4/2015,283200,4,8,170.01249,1,1
9/25/2014,180000,3,6,118.91584,1,1
5/1/2015,872500,4,9,184.87697,2,4
7/21/2014,549900,2,8,105.90942,1,4
11/13/2014,1100000,5,7,401.34096,2,3
3/2/2015,585000,4,7,232.2575,1,4
12/15/2014,1280000,4,10,403.19902,3,4
11/3/2014,399950,3,7,130.0642,2,1
9/2/2014,230000,3,7,104.05136,1,2
11/5/2014,199950,3,6,124.49002,1,1
8/5/2014,575000,3,8,192.30921,2,4
5/21/2014,700000,4,9,258.27034,3,2
4/14/2015,462550,2,8,99.40621,1,3
7/31/2014,349950,3,7,222.03817,2,2
2/2/2015,675000,4,8,206.24466,1,2
12/22/2014,337500,2,7,120.7739,1,3
9/19/2014,795000,4,9,327.01856,3,4
10/16/2014,550000,5,7,200.67048,2,3
9/4/2014,499000,3,8,149.57383,2,3
8/7/2014,620000,3,7,154.21898,2,3
5/8/2015,285000,5,7,170.94152,1,1
1/16/2015,389700,3,7,159.79316,2,4
1/5/2015,241000,3,7,154.21898,1,1
7/31/2014,710000,4,7,194.16727,2,4
4/10/2015,499990,3,7,151.43189,1,4
2/23/2015,455000,3,7,116.12875,1,3
10/14/2014,400000,4,7,218.32205,2,1
5/20/2014,300000,6,7,265.70258,5,1
4/23/2015,535000,3,8,183.01891,2,3
7/25/2014,590000,4,7,200.67048,2,2
6/18/2014,310000,4,8,247.12198,2,1
6/25/2014,500000,3,7,110.55457,1,3
9/2/2014,477000,3,7,89.18688,1,3
3/5/2015,308000,4,8,187.66406,2,1
10/15/2014,298900,3,7,172.056356,2,1
8/18/2014,304999,4,7,210.88981,2,1
3/27/2015,416000,2,7,87.32882,1,2
8/14/2014,550000,4,8,223.89623,1,4
10/23/2014,620000,2,7,91.97397,1,3
3/6/2015,225000,4,7,131.92226,1,1
11/5/2014,525000,3,9,277.77997,2,3
10/29/2014,550000,1,9,176.5157,1,3
8/14/2014,245000,3,6,189.52212,2,1
7/11/2014,246000,3,8,133.78032,1,1
7/9/2014,480000,5,8,236.90265,2,2
10/27/2014,1045000,4,9,244.33489,2,4
4/27/2015,280000,3,7,149.57383,2,1
7/14/2014,447055,4,9,227.426544,2,1
10/1/2014,427000,2,8,133.78032,1,2
12/22/2014,670000,3,7,158.86413,1,4
3/4/2015,445000,2,7,84.54173,1,3
8/25/2014,316000,3,6,104.98039,1,2
9/23/2014,775000,4,9,284.28318,3,3
10/10/2014,1075000,3,11,262.91549,2,3
3/11/2015,725000,3,7,151.43189,1,4
12/10/2014,202000,3,7,93.83203,1,1
7/2/2014,519000,5,8,238.76071,2,2
5/6/2014,485000,3,7,131.92226,2,3
7/15/2014,625000,4,9,238.76071,2,4
9/18/2014,710000,4,9,273.13482,2,3
7/17/2014,199900,5,7,167.039594,1,1
8/11/2014,290700,3,7,155.14801,2,2
2/25/2015,185000,3,6,78.03852,1,1
6/23/2014,350000,3,7,154.21898,1,2
6/18/2014,650000,3,8,271.27676,1,4
10/10/2014,455000,3,7,117.98681,1,4
5/6/2014,218000,3,8,171.87055,1,1
6/20/2014,400000,3,7,132.85129,1,2
6/20/2014,1240000,7,10,615.94689,5,4
3/16/2015,1300000,3,8,189.52212,1,3
12/11/2014,752000,4,7,153.28995,1,4
9/8/2014,470101,4,8,215.53496,2,2
10/30/2014,289950,2,6,70.60628,1,2
2/5/2015,585000,2,7,183.94794,1,3
2/5/2015,380000,0,8,136.56741,0,2
10/8/2014,207000,3,7,183.94794,1,1
4/15/2015,590000,3,7,172.79958,2,3
12/12/2014,436000,4,8,193.23824,2,2
7/2/2014,732000,3,8,248.05101,3,2
5/19/2014,446000,5,7,203.45757,2,2
4/30/2015,426500,4,9,274.99288,2,2
12/29/2014,302300,5,8,290.78639,2,1
1/15/2015,275000,3,8,170.94152,1,1
4/24/2015,560000,3,7,120.7739,2,3
6/12/2014,575000,2,8,140.28353,1,4
10/23/2014,744000,3,8,187.66406,2,4
5/8/2015,465000,5,8,216.46399,1,2
12/3/2014,227000,3,7,124.49002,1,1
12/2/2014,780000,3,8,154.21898,1,4
3/3/2015,992000,3,10,274.06385,2,4
12/29/2014,415000,2,8,104.98039,2,4
2/10/2015,565000,3,8,250.8381,2,3
4/22/2015,695000,3,8,237.83168,2,3
5/7/2014,305450,3,7,148.6448,2,2
12/8/2014,405000,2,6,74.3224,1,3
5/7/2015,625000,3,9,238.76071,2,4
8/25/2014,235500,3,7,128.20614,1,1
7/21/2014,1340000,4,9,256.41228,3,4
6/25/2014,299900,3,7,103.12233,1,2
11/21/2014,637850,5,9,310.29602,3,3
1/13/2015,314000,3,7,176.5157,2,1
6/3/2014,210000,3,7,103.12233,1,2
7/2/2014,851000,5,9,349.31528,3,4
6/23/2014,500000,3,8,106.83845,1,3
8/19/2014,325000,3,7,161.65122,2,2
7/23/2014,224950,4,7,209.96078,2,1
12/16/2014,471000,3,8,186.73503,2,2
7/17/2014,249900,3,6,193.23824,1,1
7/31/2014,875000,5,11,438.50216,4,4
7/8/2014,613000,2,8,108.69651,2,4
8/13/2014,309950,1,7,104.05136,1,1
5/21/2014,350000,3,7,91.04494,1,2
8/22/2014,443600,3,8,132.85129,2,3
4/7/2015,860000,4,10,366.96685,3,4
11/20/2014,398000,3,6,137.49644,1,2
8/31/2014,348450,4,8,181.16085,2,2
7/12/2014,451000,2,7,83.6127,1,3
6/25/2014,383000,3,7,139.3545,1,3
9/26/2014,1245000,3,8,428.28283,3,3
7/16/2014,350000,3,7,183.01891,1,2
5/22/2014,482000,5,8,207.17369,2,4
7/9/2014,1355000,4,11,329.80565,3,4
10/18/2014,530000,5,7,232.2575,2,3
8/20/2014,279950,3,7,141.21256,1,1
5/2/2014,437500,3,9,183.01891,2,3
5/30/2014,249950,4,7,119.84487,1,2
